ethnicity line,season,page number,book slot,page type,template id,template name,scene,seasonal detail,detail load,assignment basis,repeat variant,notes
African American,Summer,10,African American Summer 10,Quote page,TPL-03,Quote Page Framed Border,Bold sun-themed border.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,11,African American Summer 11,Quote page,TPL-03,Quote Page Framed Border,Warm rays and open space.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,12,African American Summer 12,Symbol page,TPL-05,Symbol Cluster Page,"Sunflowers, sandals, lemonade, hearts, and rays.","sunlight, porches, gardens, walking paths, community warmth",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,13,African American Summer 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Porch, fans, flowers, and radiant lines.","sunlight, porches, gardens, walking paths, community warmth",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,14,African American Summer 14,Environment page,TPL-09,Outdoor Sanctuary,Backyard safe-space patio with string lights.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"outdoor retreat space, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,15,African American Summer 15,Environment page,TPL-09,Outdoor Sanctuary,Summer community garden scene.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"outdoor retreat space, no people","Use 2 of TPL-09 in this book — change the built anchor: bench vs table vs planter bed, and the enclosure edge.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,01,African American Fall 01,Solo portrait,TPL-08,Window + Journal Reflection,Woman in sweater journaling with falling leaves outside.,"leaves, tea, blankets, candles, gratitude, release",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,02,African American Fall 02,Solo portrait,TPL-06,Walking Reflection Scene,Man holding coffee on a quiet morning walk.,"leaves, tea, blankets, candles, gratitude, release",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,03,African American Fall 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult resting on a couch with soft blanket.,"leaves, tea, blankets, candles, gratitude, release",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,04,African American Fall 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman lighting a candle beside a gratitude notebook.,"leaves, tea, blankets, candles, gratitude, release",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,05,African American Fall 05,Community scene,TPL-02,Support Circle Scene,Small indoor support circle with warm décor.,"leaves, tea, blankets, candles, gratitude, release",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,06,African American Fall 06,Community scene,TPL-07,Pair Conversation Scene,Parent and teen baking together in recovery home.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,07,African American Fall 07,Community scene,TPL-07,Pair Conversation Scene,Siblings reconnecting at a kitchen table.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,08,African American Fall 08,Community scene,TPL-07,Pair Conversation Scene,Sponsor-style conversation on a park bench.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,"Use 3 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,09,African American Fall 09,Quote page,TPL-03,Quote Page Framed Border,Autumn leaves and warm texture.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,10,African American Fall 10,Quote page,TPL-03,Quote Page Framed Border,Coffee mug and soft knit accents.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,11,African American Fall 11,Quote page,TPL-03,Quote Page Framed Border,Leaves and open space.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,12,African American Fall 12,Symbol page,TPL-05,Symbol Cluster Page,"Leaves, pumpkins, journals, and faith symbols.","leaves, tea, blankets, candles, gratitude, release",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,13,African American Fall 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Plaid patterns, leaves, candles, and harvest shapes.","leaves, tea, blankets, candles, gratitude, release",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,14,African American Fall 14,Environment page,TPL-04,Healing Room Interior,Reading nook sanctuary with blanket and books.,"leaves, tea, blankets, candles, gratitude, release",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Fall,15,African American Fall 15,Environment page,TPL-04,Healing Room Interior,"Calm kitchen table scene with pie, tea, and peace.","leaves, tea, blankets, candles, gratitude, release",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,01,African American Winter 01,Solo portrait,TPL-08,Window + Journal Reflection,Woman at a window with snowfall and prayer journal.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,02,African American Winter 02,Solo portrait,TPL-06,Walking Reflection Scene,Man in knit cap walking through peaceful winter air.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,03,African American Winter 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult coloring beside candles and blanket.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,04,African American Winter 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman holding cocoa and reflecting by a lamp.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,05,African American Winter 05,Community scene,TPL-02,Support Circle Scene,Indoor support group with holiday-neutral warmth.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,06,African American Winter 06,Community scene,TPL-07,Pair Conversation Scene,Grandmother and adult grandchild sharing quiet encouragement.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,07,African American Winter 07,Community scene,TPL-07,Pair Conversation Scene,Couple healing together through conversation.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,08,African American Winter 08,Community scene,TPL-07,Pair Conversation Scene,Friend dropping off soup and support.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,"Use 3 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,09,African American Winter 09,Quote page,TPL-03,Quote Page Framed Border,Snowflake border and candle glow.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,10,African American Winter 10,Quote page,TPL-03,Quote Page Framed Border,Winter window and soft blanket accents.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,11,African American Winter 11,Quote page,TPL-03,Quote Page Framed Border,Candle and light motif.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,12,African American Winter 12,Symbol page,TPL-05,Symbol Cluster Page,"Mittens, candles, doves, hearts, and stars.","snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,13,African American Winter 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Quilts, ornaments, stars, and calm lines.","snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,14,African American Winter 14,Environment page,TPL-04,Healing Room Interior,Bedroom retreat with soft lamp and heavy comforter.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Winter,15,African American Winter 15,Environment page,TPL-04,Healing Room Interior,Peaceful living room with tea table and books.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,01,Hispanic Spring 01,Solo portrait,TPL-08,Window + Journal Reflection,Latina woman journaling near flowers and open curtains.,"flowers, rain, fresh air, journals, new beginnings",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,02,Hispanic Spring 02,Solo portrait,TPL-06,Walking Reflection Scene,Latino man walking after dawn with peaceful expression.,"flowers, rain, fresh air, journals, new beginnings",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,03,Hispanic Spring 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult doing grounding exercise on patio.,"flowers, rain, fresh air, journals, new beginnings",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,04,Hispanic Spring 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman with tea and blanket embracing rest.,"flowers, rain, fresh air, journals, new beginnings",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,05,Hispanic Spring 05,Community scene,TPL-02,Support Circle Scene,Small support circle in a bright community room.,"flowers, rain, fresh air, journals, new beginnings",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,06,Hispanic Spring 06,Community scene,TPL-07,Pair Conversation Scene,Mother and daughter tending a garden together.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,07,Hispanic Spring 07,Community scene,TPL-02,Support Circle Scene,Family sharing breakfast with a calm home feeling.,"flowers, rain, fresh air, journals, new beginnings",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,08,Hispanic Spring 08,Community scene,TPL-07,Pair Conversation Scene,Two friends talking after a wellness group.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,09,Hispanic Spring 09,Quote page,TPL-03,Quote Page Framed Border,Floral border.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,10,Hispanic Spring 10,Quote page,TPL-03,Quote Page Framed Border,Butterflies and soft garden accents.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,11,Hispanic Spring 11,Quote page,TPL-03,Quote Page Framed Border,"Rain, blossoms, and soft linework.","flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,12,Hispanic Spring 12,Symbol page,TPL-05,Symbol Cluster Page,"Flowers, hummingbirds, hearts, and sun motifs.","flowers, rain, fresh air, journals, new beginnings",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,13,Hispanic Spring 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Journal, tiled accents, and spring border.","flowers, rain, fresh air, journals, new beginnings",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,14,Hispanic Spring 14,Environment page,TPL-04,Healing Room Interior,Calm bedroom with woven blanket and plants.,"flowers, rain, fresh air, journals, new beginnings",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Spring,15,Hispanic Spring 15,Environment page,TPL-09,Outdoor Sanctuary,Courtyard or patio sanctuary scene.,"flowers, rain, fresh air, journals, new beginnings",Heavy,"outdoor retreat space, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,01,Hispanic Summer 01,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman resting in sunlight with sketchbook.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,02,Hispanic Summer 02,Solo portrait,TPL-06,Walking Reflection Scene,Man on beachside boardwalk or riverside walk.,"sunlight, porches, gardens, walking paths, community warmth",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,03,Hispanic Summer 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult stretching in a bright backyard.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,04,Hispanic Summer 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman laughing softly on shaded porch.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path","Use 3 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,05,Hispanic Summer 05,Community scene,TPL-02,Support Circle Scene,Outdoor support group under trees.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,06,Hispanic Summer 06,Community scene,TPL-02,Support Circle Scene,Family cookout focused on reconnection and peace.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,07,Hispanic Summer 07,Community scene,TPL-07,Pair Conversation Scene,Friends sharing aguas frescas and conversation.,"sunlight, porches, gardens, walking paths, community warmth",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,08,Hispanic Summer 08,Community scene,TPL-07,Pair Conversation Scene,Elder offering encouragement to younger adult.,"sunlight, porches, gardens, walking paths, community warmth",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,09,Hispanic Summer 09,Quote page,TPL-03,Quote Page Framed Border,Sun and summer warmth.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,10,Hispanic Summer 10,Quote page,TPL-03,Quote Page Framed Border,Bold sun accents.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,11,Hispanic Summer 11,Quote page,TPL-03,Quote Page Framed Border,Open sky and calm space.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,12,Hispanic Summer 12,Symbol page,TPL-05,Symbol Cluster Page,"Sun, flowers, fruit, and hearts.","sunlight, porches, gardens, walking paths, community warmth",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,13,Hispanic Summer 13,Decorative page,TPL-10,Decorative Border & Pattern Page,Picnic motifs and summer borders.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
