ethnicity_line,season,page_number,page_title,page_type,template_id,seasonal_detail,prompt_status,draft_status,revision_status,cultural_review_status,quote_text,quote_approval,final_line_art_status,png_export_status,pdf_placement_status,overall_approval,owner,target_due_date,notes
African American,Spring,13,Flowers and Freedom,Symbol cluster,TPL-05,"flower cluster and recovery symbols",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,14,I Am Allowed to Begin Again,Quote page,TPL-03,"quote with renewal framing",Not Started,Not Started,Not Started,Not Started,"I am allowed to begin again.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,15,Fresh Air and Grace,Window + journal reflection,TPL-08,"quiet window and fresh air",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,01,Primavera de Sanación,Solo portrait,TPL-01,"flowers, rain, new growth",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,02,Camino de Esperanza,Walking reflection,TPL-06,"fresh air, walking path, sunrise",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,03,Crecer en Calma,Window + journal reflection,TPL-08,"open curtains, plants, journal",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,04,Círculo de Apoyo,Community scene,TPL-02,"support group in bright room",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,05,Un Día a la Vez,Quote page,TPL-03,"affirmation quote with blossoms",Not Started,Not Started,Not Started,Not Started,"Un día a la vez.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,06,Conversación en el Patio,Porch or patio conversation,TPL-07,"porch conversation with tea and light",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,07,Rincón de Descanso,Healing room interior,TPL-04,"bedroom sanctuary with plants",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,08,Símbolos de Esperanza,Symbol cluster,TPL-05,"butterflies, buds, doves",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,09,Mi Paz Importa,Quote page,TPL-03,"short quote with spring border",Not Started,Not Started,Not Started,Not Started,"Mi paz importa.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,10,Reflexión Junto a la Lluvia,Solo portrait,TPL-01,"reflection by a rainy window",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,11,Ánimo en Comunidad,Community scene,TPL-02,"small group encouragement",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,12,Rincón para Leer,Healing room interior,TPL-04,"reading nook and calm light",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,13,Flores y Libertad,Symbol cluster,TPL-05,"flower cluster and recovery symbols",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,14,Estoy Creciendo con Esperanza,Quote page,TPL-03,"quote with renewal framing",Not Started,Not Started,Not Started,Not Started,"Estoy creciendo con esperanza.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Hispanic,Spring,15,Aire Fresco y Calma,Window + journal reflection,TPL-08,"quiet window and fresh air",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,01,New Beginnings,Solo portrait,TPL-01,"flowers, rain, new growth",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,02,Path Toward Peace,Walking reflection,TPL-06,"fresh air, walking path, sunrise",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,03,Safe to Grow,Window + journal reflection,TPL-08,"open curtains, plants, journal",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,04,Healing Has Many Faces,Community scene,TPL-02,"support group in bright room",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,05,New Beginnings Belong to Me,Quote page,TPL-03,"affirmation quote with blossoms",Not Started,Not Started,Not Started,Not Started,"New beginnings belong to me.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,06,Conversation and Connection,Porch or patio conversation,TPL-07,"porch conversation with tea and light",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,07,Comfortable Space,Healing room interior,TPL-04,"bedroom sanctuary with plants",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,08,Symbols of Growth,Symbol cluster,TPL-05,"butterflies, buds, doves",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,09,Healing Has Many Faces,Quote page,TPL-03,"short quote with spring border",Not Started,Not Started,Not Started,Not Started,"Healing has many faces.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,10,Rainy Day Reflection,Solo portrait,TPL-01,"reflection by a rainy window",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,11,Encouragement Together,Community scene,TPL-02,"small group encouragement",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,12,Light-Filled Reading Nook,Healing room interior,TPL-04,"reading nook and calm light",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,13,Flowers, Hearts, and Hope,Symbol cluster,TPL-05,"flower cluster and recovery symbols",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,14,I Am Safe to Grow,Quote page,TPL-03,"quote with renewal framing",Not Started,Not Started,Not Started,Not Started,"I am safe to grow.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
Multiracial,Spring,15,Fresh Start at the Window,Window + journal reflection,TPL-08,"quiet window and fresh air",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
