book slot,ethnicity line,season,page number,page type,template id,template name,detail load,quote text,commercial priority,full prompt,compact prompt,negative prompt
African American Fall 03,African American,Fall,03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Young adult resting on a couch with soft blanket.
COMPOSITION (TPL-01 Solo Portrait Calm Scene): One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. Top: seasonal cues; Center: face/body focal point; Mid-lower: hands/object; Edges: light framing motifs.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Leave 35-45 percent open colorable space.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Young adult resting on a couch with soft blanket. One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Leave 35-45 percent open colorable space. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 04,African American,Fall,04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Woman lighting a candle beside a gratitude notebook.
COMPOSITION (TPL-01 Solo Portrait Calm Scene): One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. Top: seasonal cues; Center: face/body focal point; Mid-lower: hands/object; Edges: light framing motifs.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Leave 35-45 percent open colorable space.
VARIATION: Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Woman lighting a candle beside a gratitude notebook. One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Leave 35-45 percent open colorable space. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 05,African American,Fall,05,Community scene,TPL-02,Support Circle Scene,Heavy,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Small indoor support circle with warm décor.
COMPOSITION (TPL-02 Support Circle Scene): 3-5 people in a curved or circular arrangement, one clear focal interaction, simple background geometry. Indoor variant uses simple room geometry; outdoor variant uses trees, park edge, or garden as a low-detail backdrop. Top: wall, window, banners, or tree line kept minimal; Center: group interaction; Bottom: chairs, floor, ground, grounding objects.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep background under 30 percent detail so figures stay readable.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Small indoor support circle with warm décor. 3-5 people in a curved or circular arrangement, one clear focal interaction, simple background geometry. Indoor variant uses simple room geometry; outdoor variant uses trees, park edge, or garden as a low-detail backdrop. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep background under 30 percent detail so figures stay readable. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 06,African American,Fall,06,Community scene,TPL-07,Pair Conversation Scene,Medium,,Medium,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Parent and teen baking together in recovery home.
COMPOSITION (TPL-07 Pair Conversation Scene): Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep railing, walls, table, and ground simple enough for color fill.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Parent and teen baking together in recovery home. Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep railing, walls, table, and ground simple enough for color fill. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 07,African American,Fall,07,Community scene,TPL-07,Pair Conversation Scene,Medium,,Medium,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Siblings reconnecting at a kitchen table.
COMPOSITION (TPL-07 Pair Conversation Scene): Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep railing, walls, table, and ground simple enough for color fill.
VARIATION: Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Siblings reconnecting at a kitchen table. Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep railing, walls, table, and ground simple enough for color fill. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 08,African American,Fall,08,Community scene,TPL-07,Pair Conversation Scene,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Sponsor-style conversation on a park bench.
COMPOSITION (TPL-07 Pair Conversation Scene): Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep railing, walls, table, and ground simple enough for color fill.
VARIATION: Use 3 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Sponsor-style conversation on a park bench. Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep railing, walls, table, and ground simple enough for color fill. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 09,African American,Fall,09,Quote page,TPL-03,Quote Page Framed Border,Light,Let go and grow.,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Autumn leaves and warm texture.
COMPOSITION (TPL-03 Quote Page Framed Border): Short centered quote with wide margins and seasonal border motifs on 2-4 sides. Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.
REPRESENTATION: no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Preserve at least 50 percent open space around text.
QUOTE TEXT: ""Let go and grow."" Set centered in the upper-middle in a clean serif, well inside the safe margin. This is the only text on the page.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Autumn leaves and warm texture. Short centered quote with wide margins and seasonal border motifs on 2-4 sides. no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Preserve at least 50 percent open space around text. Quote text: ""Let go and grow."" centered, upper-middle.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 10,African American,Fall,10,Quote page,TPL-03,Quote Page Framed Border,Light,Rest is recovery too.,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Coffee mug and soft knit accents.
COMPOSITION (TPL-03 Quote Page Framed Border): Short centered quote with wide margins and seasonal border motifs on 2-4 sides. Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.
REPRESENTATION: no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Preserve at least 50 percent open space around text.
VARIATION: Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.
QUOTE TEXT: ""Rest is recovery too."" Set centered in the upper-middle in a clean serif, well inside the safe margin. This is the only text on the page.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Coffee mug and soft knit accents. Short centered quote with wide margins and seasonal border motifs on 2-4 sides. no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Preserve at least 50 percent open space around text. Quote text: ""Rest is recovery too."" centered, upper-middle.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 11,African American,Fall,11,Quote page,TPL-03,Quote Page Framed Border,Light,My story is still unfolding.,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Leaves and open space.
COMPOSITION (TPL-03 Quote Page Framed Border): Short centered quote with wide margins and seasonal border motifs on 2-4 sides. Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.
REPRESENTATION: no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Preserve at least 50 percent open space around text.
VARIATION: Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.
QUOTE TEXT: ""My story is still unfolding."" Set centered in the upper-middle in a clean serif, well inside the safe margin. This is the only text on the page.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Leaves and open space. Short centered quote with wide margins and seasonal border motifs on 2-4 sides. no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Preserve at least 50 percent open space around text. Quote text: ""My story is still unfolding."" centered, upper-middle.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Fall 12,African American,Fall,12,Symbol page,TPL-05,Symbol Cluster Page,Medium,,Medium,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Leaves, pumpkins, journals, and faith symbols.
COMPOSITION (TPL-05 Symbol Cluster Page): 8-15 related motifs grouped in balanced clusters with breathing room between forms. Distributed clusters across the full page with one central anchor motif.
REPRESENTATION: no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like.
SEASON (Fall): leaves, tea, blankets, candles, gratitude, release.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep clean separations between motifs for easy coloring.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Leaves, pumpkins, journals, and faith symbols. 8-15 related motifs grouped in balanced clusters with breathing room between forms. no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like. Season cues: leaves, tea, blankets, candles, gratitude, release. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep clean separations between motifs for easy coloring. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
