ethnicity line,season,page number,template id,template name,seasonal detail,book slot,notes
African American,Fall,7,TPL-04,Healing room interior,reading nook with lamp,African American Fall 07,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,8,TPL-05,Symbol cluster page,"leaves, candles, journals",African American Fall 08,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,9,TPL-03,Quote page framed border,short quote with harvest border,African American Fall 09,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,10,TPL-01,Solo portrait calm scene,reflection by window and rain,African American Fall 10,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,11,TPL-02,Support circle scene,small group support,African American Fall 11,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,12,TPL-04,Healing room interior,cozy room with books,African American Fall 12,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,13,TPL-05,Symbol cluster page,fall symbol cluster,African American Fall 13,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,14,TPL-03,Quote page framed border,quote with gratitude framing,African American Fall 14,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,15,TPL-08,Window + journal reflection,quiet window and tea,African American Fall 15,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,1,TPL-01,Solo portrait calm scene,"snow, cocoa, softness",African American Winter 01,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,2,TPL-06,Walking reflection scene,"quiet walk, coat, path",African American Winter 02,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,3,TPL-08,Window + journal reflection,window with lamp and journal,African American Winter 03,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,4,TPL-02,Support circle scene,warm support circle indoors,African American Winter 04,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,5,TPL-03,Quote page framed border,affirmation quote with candles,African American Winter 05,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,6,TPL-07,Porch or patio conversation,patio replaced by indoor conversation,African American Winter 06,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,7,TPL-04,Healing room interior,bedroom or living room retreat,African American Winter 07,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,8,TPL-05,Symbol cluster page,"candles, stars, mittens",African American Winter 08,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,9,TPL-03,Quote page framed border,short quote with winter border,African American Winter 09,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,10,TPL-01,Solo portrait calm scene,reflection by snowy window,African American Winter 10,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,11,TPL-02,Support circle scene,small group support,African American Winter 11,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,12,TPL-04,Healing room interior,cozy room with blankets,African American Winter 12,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,13,TPL-05,Symbol cluster page,winter symbol cluster,African American Winter 13,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,14,TPL-03,Quote page framed border,quote with hope framing,African American Winter 14,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Winter,15,TPL-08,Window + journal reflection,quiet window and warm drink,African American Winter 15,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,1,TPL-01,Solo portrait calm scene,"flowers, rain, new growth",Hispanic Spring 01,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,2,TPL-06,Walking reflection scene,"fresh air, walking path, sunrise",Hispanic Spring 02,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,3,TPL-08,Window + journal reflection,"open curtains, plants, journal",Hispanic Spring 03,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,4,TPL-02,Support circle scene,support group in bright room,Hispanic Spring 04,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,5,TPL-03,Quote page framed border,affirmation quote with blossoms,Hispanic Spring 05,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,6,TPL-07,Porch or patio conversation,porch conversation with tea and light,Hispanic Spring 06,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,7,TPL-04,Healing room interior,bedroom sanctuary with plants,Hispanic Spring 07,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,8,TPL-05,Symbol cluster page,"butterflies, buds, doves",Hispanic Spring 08,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,9,TPL-03,Quote page framed border,short quote with spring border,Hispanic Spring 09,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,10,TPL-01,Solo portrait calm scene,reflection by a rainy window,Hispanic Spring 10,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,11,TPL-02,Support circle scene,small group encouragement,Hispanic Spring 11,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,12,TPL-04,Healing room interior,reading nook and calm light,Hispanic Spring 12,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,13,TPL-05,Symbol cluster page,flower cluster and recovery symbols,Hispanic Spring 13,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,14,TPL-03,Quote page framed border,quote with renewal framing,Hispanic Spring 14,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Spring,15,TPL-08,Window + journal reflection,quiet window and fresh air,Hispanic Spring 15,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,1,TPL-01,Solo portrait calm scene,"sunlight, porch, garden",Hispanic Summer 01,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,2,TPL-06,Walking reflection scene,"morning walk, trees, light",Hispanic Summer 02,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,3,TPL-08,Window + journal reflection,"bright window, tea, notebook",Hispanic Summer 03,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,4,TPL-02,Support circle scene,support circle outdoors or bright room,Hispanic Summer 04,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,5,TPL-03,Quote page framed border,affirmation quote with sun accents,Hispanic Summer 05,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,6,TPL-07,Porch or patio conversation,patio conversation with lemonade,Hispanic Summer 06,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,7,TPL-04,Healing room interior,living room with fan and plants,Hispanic Summer 07,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,8,TPL-05,Symbol cluster page,"sunflowers, waves, hearts",Hispanic Summer 08,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,9,TPL-03,Quote page framed border,short quote with warm border,Hispanic Summer 09,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,10,TPL-01,Solo portrait calm scene,reflection by water or window,Hispanic Summer 10,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,11,TPL-02,Support circle scene,small group encouragement,Hispanic Summer 11,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,12,TPL-04,Healing room interior,rest corner with daylight,Hispanic Summer 12,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,13,TPL-05,Symbol cluster page,summer symbol cluster,Hispanic Summer 13,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,14,TPL-03,Quote page framed border,quote with radiant framing,Hispanic Summer 14,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Summer,15,TPL-08,Window + journal reflection,balcony or patio quiet time,Hispanic Summer 15,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,1,TPL-01,Solo portrait calm scene,"leaves, sweater, calm",Hispanic Fall 01,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,2,TPL-06,Walking reflection scene,"autumn walk, coffee, path",Hispanic Fall 02,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,3,TPL-08,Window + journal reflection,window with plaid blanket,Hispanic Fall 03,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,4,TPL-02,Support circle scene,warm indoor support group,Hispanic Fall 04,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,5,TPL-03,Quote page framed border,affirmation quote with leaves,Hispanic Fall 05,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,6,TPL-07,Porch or patio conversation,porch talk with mugs and blankets,Hispanic Fall 06,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,7,TPL-04,Healing room interior,reading nook with lamp,Hispanic Fall 07,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,8,TPL-05,Symbol cluster page,"leaves, candles, journals",Hispanic Fall 08,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,9,TPL-03,Quote page framed border,short quote with harvest border,Hispanic Fall 09,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,10,TPL-01,Solo portrait calm scene,reflection by window and rain,Hispanic Fall 10,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,11,TPL-02,Support circle scene,small group support,Hispanic Fall 11,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,12,TPL-04,Healing room interior,cozy room with books,Hispanic Fall 12,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,13,TPL-05,Symbol cluster page,fall symbol cluster,Hispanic Fall 13,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,14,TPL-03,Quote page framed border,quote with gratitude framing,Hispanic Fall 14,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Fall,15,TPL-08,Window + journal reflection,quiet window and tea,Hispanic Fall 15,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,1,TPL-01,Solo portrait calm scene,"snow, cocoa, softness",Hispanic Winter 01,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,2,TPL-06,Walking reflection scene,"quiet walk, coat, path",Hispanic Winter 02,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,3,TPL-08,Window + journal reflection,window with lamp and journal,Hispanic Winter 03,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,4,TPL-02,Support circle scene,warm support circle indoors,Hispanic Winter 04,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,5,TPL-03,Quote page framed border,affirmation quote with candles,Hispanic Winter 05,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,6,TPL-07,Porch or patio conversation,patio replaced by indoor conversation,Hispanic Winter 06,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,7,TPL-04,Healing room interior,bedroom or living room retreat,Hispanic Winter 07,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,8,TPL-05,Symbol cluster page,"candles, stars, mittens",Hispanic Winter 08,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,9,TPL-03,Quote page framed border,short quote with winter border,Hispanic Winter 09,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,10,TPL-01,Solo portrait calm scene,reflection by snowy window,Hispanic Winter 10,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,11,TPL-02,Support circle scene,small group support,Hispanic Winter 11,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,12,TPL-04,Healing room interior,cozy room with blankets,Hispanic Winter 12,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,13,TPL-05,Symbol cluster page,winter symbol cluster,Hispanic Winter 13,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,14,TPL-03,Quote page framed border,quote with hope framing,Hispanic Winter 14,Rotate high-detail and low-detail pages to avoid fatigue.
Hispanic,Winter,15,TPL-08,Window + journal reflection,quiet window and warm drink,Hispanic Winter 15,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,1,TPL-01,Solo portrait calm scene,"flowers, rain, new growth",Multiracial Spring 01,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,2,TPL-06,Walking reflection scene,"fresh air, walking path, sunrise",Multiracial Spring 02,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,3,TPL-08,Window + journal reflection,"open curtains, plants, journal",Multiracial Spring 03,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,4,TPL-02,Support circle scene,support group in bright room,Multiracial Spring 04,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,5,TPL-03,Quote page framed border,affirmation quote with blossoms,Multiracial Spring 05,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,6,TPL-07,Porch or patio conversation,porch conversation with tea and light,Multiracial Spring 06,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,7,TPL-04,Healing room interior,bedroom sanctuary with plants,Multiracial Spring 07,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,8,TPL-05,Symbol cluster page,"butterflies, buds, doves",Multiracial Spring 08,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,9,TPL-03,Quote page framed border,short quote with spring border,Multiracial Spring 09,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,10,TPL-01,Solo portrait calm scene,reflection by a rainy window,Multiracial Spring 10,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,11,TPL-02,Support circle scene,small group encouragement,Multiracial Spring 11,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,12,TPL-04,Healing room interior,reading nook and calm light,Multiracial Spring 12,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,13,TPL-05,Symbol cluster page,flower cluster and recovery symbols,Multiracial Spring 13,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,14,TPL-03,Quote page framed border,quote with renewal framing,Multiracial Spring 14,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Spring,15,TPL-08,Window + journal reflection,quiet window and fresh air,Multiracial Spring 15,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,1,TPL-01,Solo portrait calm scene,"sunlight, porch, garden",Multiracial Summer 01,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,2,TPL-06,Walking reflection scene,"morning walk, trees, light",Multiracial Summer 02,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,3,TPL-08,Window + journal reflection,"bright window, tea, notebook",Multiracial Summer 03,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,4,TPL-02,Support circle scene,support circle outdoors or bright room,Multiracial Summer 04,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,5,TPL-03,Quote page framed border,affirmation quote with sun accents,Multiracial Summer 05,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,6,TPL-07,Porch or patio conversation,patio conversation with lemonade,Multiracial Summer 06,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,7,TPL-04,Healing room interior,living room with fan and plants,Multiracial Summer 07,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,8,TPL-05,Symbol cluster page,"sunflowers, waves, hearts",Multiracial Summer 08,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,9,TPL-03,Quote page framed border,short quote with warm border,Multiracial Summer 09,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,10,TPL-01,Solo portrait calm scene,reflection by water or window,Multiracial Summer 10,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,11,TPL-02,Support circle scene,small group encouragement,Multiracial Summer 11,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,12,TPL-04,Healing room interior,rest corner with daylight,Multiracial Summer 12,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,13,TPL-05,Symbol cluster page,summer symbol cluster,Multiracial Summer 13,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,14,TPL-03,Quote page framed border,quote with radiant framing,Multiracial Summer 14,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Summer,15,TPL-08,Window + journal reflection,balcony or patio quiet time,Multiracial Summer 15,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,1,TPL-01,Solo portrait calm scene,"leaves, sweater, calm",Multiracial Fall 01,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,2,TPL-06,Walking reflection scene,"autumn walk, coffee, path",Multiracial Fall 02,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,3,TPL-08,Window + journal reflection,window with plaid blanket,Multiracial Fall 03,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,4,TPL-02,Support circle scene,warm indoor support group,Multiracial Fall 04,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,5,TPL-03,Quote page framed border,affirmation quote with leaves,Multiracial Fall 05,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,6,TPL-07,Porch or patio conversation,porch talk with mugs and blankets,Multiracial Fall 06,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,7,TPL-04,Healing room interior,reading nook with lamp,Multiracial Fall 07,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,8,TPL-05,Symbol cluster page,"leaves, candles, journals",Multiracial Fall 08,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,9,TPL-03,Quote page framed border,short quote with harvest border,Multiracial Fall 09,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,10,TPL-01,Solo portrait calm scene,reflection by window and rain,Multiracial Fall 10,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,11,TPL-02,Support circle scene,small group support,Multiracial Fall 11,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,12,TPL-04,Healing room interior,cozy room with books,Multiracial Fall 12,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,13,TPL-05,Symbol cluster page,fall symbol cluster,Multiracial Fall 13,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,14,TPL-03,Quote page framed border,quote with gratitude framing,Multiracial Fall 14,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Fall,15,TPL-08,Window + journal reflection,quiet window and tea,Multiracial Fall 15,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,1,TPL-01,Solo portrait calm scene,"snow, cocoa, softness",Multiracial Winter 01,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,2,TPL-06,Walking reflection scene,"quiet walk, coat, path",Multiracial Winter 02,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,3,TPL-08,Window + journal reflection,window with lamp and journal,Multiracial Winter 03,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,4,TPL-02,Support circle scene,warm support circle indoors,Multiracial Winter 04,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,5,TPL-03,Quote page framed border,affirmation quote with candles,Multiracial Winter 05,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,6,TPL-07,Porch or patio conversation,patio replaced by indoor conversation,Multiracial Winter 06,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,7,TPL-04,Healing room interior,bedroom or living room retreat,Multiracial Winter 07,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,8,TPL-05,Symbol cluster page,"candles, stars, mittens",Multiracial Winter 08,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,9,TPL-03,Quote page framed border,short quote with winter border,Multiracial Winter 09,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,10,TPL-01,Solo portrait calm scene,reflection by snowy window,Multiracial Winter 10,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,11,TPL-02,Support circle scene,small group support,Multiracial Winter 11,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,12,TPL-04,Healing room interior,cozy room with blankets,Multiracial Winter 12,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,13,TPL-05,Symbol cluster page,winter symbol cluster,Multiracial Winter 13,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,14,TPL-03,Quote page framed border,quote with hope framing,Multiracial Winter 14,Rotate high-detail and low-detail pages to avoid fatigue.
Multiracial,Winter,15,TPL-08,Window + journal reflection,quiet window and warm drink,Multiracial Winter 15,Rotate high-detail and low-detail pages to avoid fatigue.
