ethnicity_line,season,page_number,page_title,page_type,template_id,base_prompt,representation_direction,seasonal_direction,page_specific_prompt,negative_prompt,print_spec,status,notes
African American,Spring,11,Community Encouragement,Community scene,TPL-02,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, clear focal interaction, open spaces for coloring.","Small group of African American adults with varied skin tones, hairstyles, and ages; respectful peer-support representation.","Simple meeting room, spring daylight, coffee/tea table, chairs.","Three African American adults offering encouragement in a calm meeting room, one standing with open hands while two people listen, a small table with tea cups, spring daylight through window, no readable signs, coloring book line art.","photorealistic, gray shading, color, crowded room, distorted anatomy, text artifacts, drugs, alcohol, weapons, police, visible crisis, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; preserve figure separation and simple background.",Not Started,
African American,Spring,12,Reading Nook Reset,Healing room interior,TPL-04,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, restful environment, open spaces for coloring.","Culturally respectful home details with no stereotypes; no person required.","Spring light, books, comfortable chair, small plant, tea, open window.","Peaceful reading nook with a comfortable chair, folded blanket, stack of books, tea mug, small plant, open window with simple spring branches, and a journal on a side table, coloring book line art.","photorealistic, gray shading, color, clutter, text artifacts, dense patterns, weapons, drugs, alcohol, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; use simple furniture silhouettes.",Not Started,
African American,Spring,13,Flowers and Freedom,Symbol cluster,TPL-05,"Clean black-and-white adult coloring page, balanced symbol clusters, simple outlines, open spaces for coloring, no shading or grayscale.","Use universal recovery and freedom symbols; no cultural stereotypes.","Spring flower cluster, open journal, birds, hearts, sunlight, leaves.","Central open journal with flowers flowing outward, small birds, hearts, leaves, and sunlight rays; balanced objects with open coloring spaces; coloring book line art.","photorealistic, gray shading, color, dense mandala, clutter, text artifacts, heavy black areas, violent imagery.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep each symbol separate.",Not Started,
African American,Spring,14,I Am Allowed to Begin Again,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use universal renewal motifs; no people needed.","Butterflies, sprouting leaves, flower buds, soft rain, open path.","Centered hand-lettered phrase: I am allowed to begin again. Surround with a light border of butterflies, sprouting leaves, flower buds, and gentle rain; spacious composition; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; add final quote manually if needed.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
African American,Spring,15,Fresh Air and Grace,Window + journal reflection,TPL-08,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","African American adult with natural hairstyle and everyday comfortable clothing; respectful, authentic features; no stereotypes.","Fresh spring air, open window, simple tree branches, journal, light throw blanket.","African American adult sitting beside an open window, taking a slow breath with an open journal nearby, spring branches outside, light blanket and tea mug nearby, calm posture, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep outside scene simple and open.",Not Started,
Hispanic,Spring,01,Primavera de Sanación,Solo portrait,TPL-01,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","Hispanic adult woman with varied skin tone, natural hair texture, everyday comfortable clothing, and respectful authentic features; no stereotypes.","Spring flowers, soft rain outside a window, fresh green plants, gentle morning atmosphere.","Hispanic woman journaling beside a rainy spring window, potted plants and flowers nearby, tea mug and woven throw blanket, calm reflective expression, simple cozy interior, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, overcrowded scene, distorted face, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, police, panic, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep text-free interior; primary outlines 0.75–1.25 pt; secondary details 0.5–0.75 pt.",Not Started,
Hispanic,Spring,02,Camino de Esperanza,Walking reflection,TPL-06,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","Hispanic adult man with varied skin tone and hair texture, relaxed posture, everyday clothing, and respectful authentic features; no stereotypes.","Spring sunrise, neighborhood park path, budding trees, light clouds, fresh grass.","Hispanic man walking peacefully on a spring morning path in a neighborhood park, sunrise behind budding trees, relaxed shoulders, simple path and open sky, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, overcrowded scene, distorted anatomy, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, police, panic, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; open sky and path areas; primary outlines 0.75–1.25 pt.",Not Started,
Hispanic,Spring,03,Crecer en Calma,Window + journal reflection,TPL-08,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","Hispanic young adult with varied skin tone and hair texture, relaxed face, accessible everyday clothing; respectful and non-stereotyped.","Open spring window, simple curtains, plants, journal, fresh air.","Hispanic young adult seated near an open spring window, holding a journal and pen, plants on the sill, blanket and book nearby, relaxed breathing posture, simple background, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injury, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; preserve large open areas in window and blanket.",Not Started,
Hispanic,Spring,04,Círculo de Apoyo,Community scene,TPL-02,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, clear focal interaction, open spaces for coloring.","Small group of Hispanic adults with varied skin tones, ages, hairstyles, and everyday clothing; respectful peer-support representation.","Bright community room, spring light through windows, simple chairs and a small plant.","Four Hispanic adults seated in a supportive circle in a bright community room, one person speaking while others listen with open body language, simple chairs, spring light through windows, no text on signs, coloring book line art.","photorealistic, gray shading, color, blurry lines, crowded group, confused anatomy, text artifacts, drugs, alcohol, weapons, police, visible crisis, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; 2–5 figures maximum; keep room detail minimal.",Not Started,
Hispanic,Spring,05,Un Día a la Vez,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use neutral botanical motifs; no people needed.","Spring blossoms, small butterflies, leaves, raindrops, gentle border accents.","Centered hand-lettered Spanish phrase: Un día a la vez. Surround with an open spring floral border of blossoms, butterflies, leaves, and small raindrops; generous white space around words; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense mandala, crowded border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; phrase must be proofread manually after generation; reserve 50% or more white space.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
Hispanic,Spring,06,Conversación en el Patio,Porch or patio conversation,TPL-07,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","Two Hispanic adults with varied ages, skin tones, hair textures, and everyday clothing; relaxed and supportive interaction; no stereotypes.","Spring patio, potted flowers, tea mugs, light sunlight, simple railing or courtyard detail.","Two Hispanic women seated on a patio having a gentle supportive conversation over tea, potted spring flowers nearby, relaxed facial expressions, simple patio setting and open background, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, alcohol, drugs, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep floor and walls simple.",Not Started,
Hispanic,Spring,07,Rincón de Descanso,Healing room interior,TPL-04,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, restful environment, open spaces for coloring.","Culturally warm but non-stereotyped home details; no person required.","Spring plants, open curtain, light blanket, books, candle, soft daytime light.","Cozy bedroom sanctuary with a neatly made bed, open curtain showing simple spring branches, potted plant, books, candle, woven throw blanket, and journal on a side table, uncluttered coloring book line art.","photorealistic, gray shading, color, messy room, clutter, text artifacts, dark mood, weapons, drugs, alcohol, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; avoid dense textile patterns.",Not Started,
Hispanic,Spring,08,Símbolos de Esperanza,Symbol cluster,TPL-05,"Clean black-and-white adult coloring page, balanced symbol clusters, simple outlines, open spaces for coloring, no shading or grayscale.","Use universal recovery and hope symbols; no cultural stereotypes.","Butterflies, flower buds, doves, hearts, journal, tea mug, sunrise, leaves.","Balanced spring symbol cluster with a central butterfly, surrounding flowers, dove, heart, journal, tea mug, small sunrise, and leaves; each object separated by white space; coloring book line art.","photorealistic, gray shading, color, dense mandala, clutter, text artifacts, heavy black areas, violent imagery.","8.5 x 11 in portrait; 300 DPI; black line art on white; 8–12 motifs maximum with clean separation.",Not Started,
Hispanic,Spring,09,Mi Paz Importa,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use neutral botanical motifs; no people needed.","Spring leaves, small flowers, raindrops, calm garden border.","Centered hand-lettered Spanish phrase: Mi paz importa. Surround with a light spring garden border of leaves, flowers, and gentle raindrops; generous open coloring space; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; add final quote manually if needed.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
Hispanic,Spring,10,Reflexión Junto a la Lluvia,Solo portrait,TPL-01,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","Hispanic adult with varied skin tone, natural hair texture, and everyday comfortable clothing; respectful, authentic features; no stereotypes.","Rainy spring window, journal, tea, soft blanket, plant.","Hispanic woman sitting in a comfortable chair by a rainy spring window, holding a tea mug with a journal on her lap, simple plant and folded blanket nearby, peaceful expression, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; leave clear areas in chair, window, and blanket.",Not Started,
Hispanic,Spring,11,Ánimo en Comunidad,Community scene,TPL-02,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, clear focal interaction, open spaces for coloring.","Small group of Hispanic adults with varied skin tones, hairstyles, and ages; respectful peer-support representation.","Simple meeting room, spring daylight, coffee/tea table, chairs.","Three Hispanic adults offering encouragement in a calm meeting room, one standing with open hands while two people listen, a small table with tea cups, spring daylight through window, no readable signs, coloring book line art.","photorealistic, gray shading, color, crowded room, distorted anatomy, text artifacts, drugs, alcohol, weapons, police, visible crisis, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; preserve figure separation and simple background.",Not Started,
Hispanic,Spring,12,Rincón para Leer,Healing room interior,TPL-04,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, restful environment, open spaces for coloring.","Culturally warm but non-stereotyped home details; no person required.","Spring light, books, comfortable chair, small plant, tea, open window.","Peaceful reading nook with a comfortable chair, folded blanket, stack of books, tea mug, small plant, open window with simple spring branches, and a journal on a side table, coloring book line art.","photorealistic, gray shading, color, clutter, text artifacts, dense patterns, weapons, drugs, alcohol, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; use simple furniture silhouettes.",Not Started,
Hispanic,Spring,13,Flores y Libertad,Symbol cluster,TPL-05,"Clean black-and-white adult coloring page, balanced symbol clusters, simple outlines, open spaces for coloring, no shading or grayscale.","Use universal recovery and freedom symbols; no cultural stereotypes.","Spring flower cluster, open journal, birds, hearts, sunlight, leaves.","Central open journal with flowers flowing outward, small birds, hearts, leaves, and sunlight rays; balanced objects with open coloring spaces; coloring book line art.","photorealistic, gray shading, color, dense mandala, clutter, text artifacts, heavy black areas, violent imagery.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep each symbol separate.",Not Started,
Hispanic,Spring,14,Estoy Creciendo con Esperanza,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use universal renewal motifs; no people needed.","Butterflies, sprouting leaves, flower buds, soft rain, open path.","Centered hand-lettered Spanish phrase: Estoy creciendo con esperanza. Surround with a light border of butterflies, sprouting leaves, flower buds, and gentle rain; spacious composition; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; add final quote manually if needed.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
Hispanic,Spring,15,Aire Fresco y Calma,Window + journal reflection,TPL-08,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","Hispanic adult with varied skin tone, natural hair texture, and everyday comfortable clothing; respectful, authentic features; no stereotypes.","Fresh spring air, open window, simple tree branches, journal, light throw blanket.","Hispanic adult sitting beside an open window, taking a slow breath with an open journal nearby, spring branches outside, light blanket and tea mug nearby, calm posture, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep outside scene simple and open.",Not Started,
Multiracial,Spring,01,New Beginnings,Solo portrait,TPL-01,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","Multiracial adult woman with mixed-feature facial structure, varied skin tone, natural hair texture, everyday comfortable clothing, and respectful authentic features; no stereotypes.","Spring flowers, soft rain outside a window, fresh green plants, gentle morning atmosphere.","Multiracial woman journaling beside a rainy spring window, potted plants and spring flowers nearby, tea mug and blanket, calm reflective expression, simple cozy interior, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, overcrowded scene, distorted face, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, police, panic, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep text-free interior; primary outlines 0.75–1.25 pt; secondary details 0.5–0.75 pt.",Not Started,
Multiracial,Spring,02,Path Toward Peace,Walking reflection,TPL-06,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","Multiracial adult man with mixed-feature face, varied skin tone, relaxed posture, everyday clothing, and respectful authentic features; no stereotypes.","Spring sunrise, neighborhood park path, budding trees, light clouds, fresh grass.","Multiracial man walking peacefully on a spring morning path in a neighborhood park, sunrise behind budding trees, relaxed shoulders, simple path and open sky, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, overcrowded scene, distorted anatomy, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, police, panic, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; open sky and path areas; primary outlines 0.75–1.25 pt.",Not Started,
Multiracial,Spring,03,Safe to Grow,Window + journal reflection,TPL-08,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","Multiracial young adult with mixed-feature face, varied skin tone and hair texture, relaxed face, accessible everyday clothing; respectful and non-stereotyped.","Open spring window, simple curtains, plants, journal, fresh air.","Multiracial young adult seated near an open spring window, holding a journal and pen, plants on the sill, blanket and book nearby, relaxed breathing posture, simple background, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injury, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; preserve large open areas in window and blanket.",Not Started,
Multiracial,Spring,04,Healing Has Many Faces,Community scene,TPL-02,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, clear focal interaction, open spaces for coloring.","Small, visibly diverse peer-support group including multiracial adults and varied skin tones, hair textures, and ages; respectful non-tokenized representation.","Bright community room, spring light through windows, simple chairs and a small plant.","Four diverse adults seated in a supportive circle in a bright community room, visibly varied skin tones and hair textures, one person speaking while others listen with open body language, simple chairs, spring light through windows, no text on signs, coloring book line art.","photorealistic, gray shading, color, blurry lines, crowded group, confused anatomy, text artifacts, drugs, alcohol, weapons, police, visible crisis, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; 2–5 figures maximum; keep room detail minimal.",Not Started,
Multiracial,Spring,05,New Beginnings Belong to Me,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use neutral botanical motifs; no people needed.","Spring blossoms, small butterflies, leaves, raindrops, gentle border accents.","Centered hand-lettered phrase: New beginnings belong to me. Surround with an open spring floral border of blossoms, butterflies, leaves, and small raindrops; generous white space around words; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense mandala, crowded border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; phrase must be proofread manually after generation; reserve 50% or more white space.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
Multiracial,Spring,06,Conversation and Connection,Porch or patio conversation,TPL-07,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","Two multiracial adults or a visibly diverse friend pair with varied skin tones and hair textures, relaxed supportive interaction; respectful representation.","Spring porch or patio, potted flowers, tea mugs, light sunlight, simple railing.","Two diverse friends seated on a porch having a gentle supportive conversation over tea, potted spring flowers nearby, relaxed facial expressions, simple porch railing and open background, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, alcohol, drugs, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep porch floor and walls simple.",Not Started,
Multiracial,Spring,07,Comfortable Space,Healing room interior,TPL-04,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, restful environment, open spaces for coloring.","Inclusive and culturally neutral home details; no person required.","Spring plants, open curtain, light blanket, books, candle, soft daytime light.","Cozy bedroom sanctuary with a neatly made bed, open curtain showing simple spring branches, potted plant, books, candle, folded blanket, and journal on a side table, uncluttered coloring book line art.","photorealistic, gray shading, color, messy room, clutter, text artifacts, dark mood, weapons, drugs, alcohol, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; avoid dense textile patterns.",Not Started,
Multiracial,Spring,08,Symbols of Growth,Symbol cluster,TPL-05,"Clean black-and-white adult coloring page, balanced symbol clusters, simple outlines, open spaces for coloring, no shading or grayscale.","Use universal recovery and hope symbols; no cultural stereotypes.","Butterflies, flower buds, doves, hearts, journal, tea mug, sunrise, leaves.","Balanced spring symbol cluster with a central butterfly, surrounding flowers, dove, heart, journal, tea mug, small sunrise, and leaves; each object separated by white space; coloring book line art.","photorealistic, gray shading, color, dense mandala, clutter, text artifacts, heavy black areas, violent imagery.","8.5 x 11 in portrait; 300 DPI; black line art on white; 8–12 motifs maximum with clean separation.",Not Started,
Multiracial,Spring,09,Healing Has Many Faces,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use neutral botanical motifs; no people needed.","Spring leaves, small flowers, raindrops, calm garden border.","Centered hand-lettered phrase: Healing has many faces. Surround with a light spring garden border of leaves, flowers, and gentle raindrops; generous open coloring space; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; add final quote manually if needed.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
Multiracial,Spring,10,Rainy Day Reflection,Solo portrait,TPL-01,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","Multiracial adult with mixed-feature face, varied skin tone, natural hair texture, and everyday comfortable clothing; respectful authentic features; no stereotypes.","Rainy spring window, journal, tea, soft blanket, plant.","Multiracial woman sitting in a comfortable chair by a rainy spring window, holding a tea mug with a journal on her lap, simple plant and folded blanket nearby, peaceful expression, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; leave clear areas in chair, window, and blanket.",Not Started,
