title,ethnicity line,season,page type,prompt notes,quote text,commercial priority
Hispanic Summer 08,Hispanic,Summer,Community scene,"Older Hispanic woman with silver-streaked hair offering calm encouragement to a younger adult seated beside her on a garden bench; their eye contact and open hands convey wisdom, trust, and support across generations.",,Medium
Hispanic Summer 09,Hispanic,Summer,Quote page,"Summer border of radiant sun rays, open flowers, curved leaves, small fruit, and butterflies surrounding generous central space; upward, flowing shapes visually connect healing with genuine joy.",La sanación también puede tener alegría.,High
Hispanic Summer 10,Hispanic,Summer,Quote page,"Bold summer sunburst border with long clean rays, small wildflowers, open leaves, and a distant horizon line; keep the center spacious so the short affirmation reads as a confident step forward.",Sigo adelante.,High
Hispanic Summer 11,Hispanic,Summer,Quote page,"Open-sky summer composition with a simple horizon, drifting clouds, flowering stems, and a calm butterfly near the lower corner; abundant white space creates a visual pause and reinforces choosing calm.",Hoy elijo calma.,High
Hispanic Summer 12,Hispanic,Summer,Symbol page,"Summer symbol cluster featuring a radiant sun, hibiscus-like flower, sliced citrus, leafy stem, butterfly, and heart; arrange each motif distinctly with clean outlines and balanced spacing for an uplifting coloring page.",,Medium
Hispanic Summer 13,Hispanic,Summer,Decorative page,"Summer picnic vignette with woven basket, fruit, folded textile, lemonade-style glass, wildflowers, and a small journal arranged on a blanket; use open shapes and flowing border elements to suggest relaxed connection.",,Medium
Hispanic Summer 14,Hispanic,Summer,Environment page,"Hispanic patio sanctuary with patterned tile floor, comfortable chair, potted flowering plants, hanging lanterns, and a small side table with a journal; the open doorway and uncluttered layout suggest safety and personal freedom.",,Medium
Hispanic Summer 15,Hispanic,Summer,Environment page,"Community-center courtyard with several Hispanic adults gathered around small tables and potted plants, sharing conversation after a wellness activity; tiled walkway, shade canopy, and welcoming open space create a grounded community setting.",,High
Hispanic Fall 01,Hispanic,Fall,Solo portrait,"Latina woman in her 40s with thick wavy dark hair wrapped in a textured shawl, seated beside a fall-lit window writing in a journal; a warm mug, leafy plant, and thoughtful gaze convey reflection and emotional release.",,High
Hispanic Fall 02,Hispanic,Fall,Solo portrait,"Latino man in his 40s with short textured hair and neatly trimmed facial hair, walking beneath mature autumn trees with a warm coffee cup; fallen leaves and a steady stride symbolize moving forward while carrying less.",,Medium
Hispanic Fall 03,Hispanic,Fall,Solo portrait,"Hispanic young adult with curly hair seated in a deep chair, reading a small affirmation card with a peaceful half-smile; woven throw, ceramic mug, houseplant, and amber window light create a cozy space for self-encouragement.",,High
Hispanic Fall 04,Hispanic,Fall,Solo portrait,"Latina woman in her 40s with long dark braid preparing herbal tea in a tidy kitchen, hands relaxed and expression content; warm wood, ceramic dishes, leafy plant, and autumn light turn an ordinary routine into intentional self-care.",,High
Hispanic Fall 05,Hispanic,Fall,Community scene,"Five Hispanic adults in a warm indoor support circle, seated comfortably with notebooks and mugs while one person speaks and the others listen; simple autumn branches, woven textiles, and soft lamps create belonging without clutter.",,High
Hispanic Fall 06,Hispanic,Fall,Community scene,"Hispanic family preparing a comforting meal together in a home kitchen, with an adult stirring a pot while another chops vegetables and others set the table; warm ceramic dishes and shared eye contact emphasize teamwork and reconnection.",,Medium
Hispanic Fall 07,Hispanic,Fall,Community scene,"Two Hispanic sisters seated across a kitchen table, speaking honestly with relaxed shoulders and attentive eye contact; mugs, a small vase of autumn flowers, and an open notebook create an intimate scene of trust and truth.",,Medium
Hispanic Fall 08,Hispanic,Fall,Community scene,"Hispanic mentor and younger adult seated on a park bench after a class, talking with calm focus; the mentor listens while the younger adult holds a notebook, surrounded by autumn trees and a clear walking path representing continued growth.",,High
Hispanic Fall 09,Hispanic,Fall,Quote page,"Autumn border with a steaming cup, curling leaves, acorns, simple woven-texture motifs, and generous central space; falling leaves move downward while the open center creates a visual permission to pause and rest.",Puedo descansar.,High
Hispanic Fall 10,Hispanic,Fall,Quote page,"Release-and-renewal border featuring leaves drifting from branches, an open hand motif, new buds, and a butterfly transitioning upward; keep the center spacious to visually separate letting go from becoming.",Estoy aprendiendo a soltar.,High
Hispanic Fall 11,Hispanic,Fall,Quote page,"Autumn window-light composition with a narrow branch, glowing sunbeams, a small candle, and leaves framing a large open center; the light should visually enter from one side to symbolize hope that remains.",Todavía hay luz para mí.,High
Hispanic Fall 12,Hispanic,Fall,Symbol page,"Fall symbol cluster of layered leaves, ceramic mug, candle, flower, small acorn, and open journal arranged in a balanced arc; use distinct shapes and generous spacing for easy coloring.",,Medium
Hispanic Fall 13,Hispanic,Fall,Decorative page,"Decorative fall composition using woven textile geometry, leaf garland, ceramic cup, simple botanical motifs, and a subtle Hispanic-inspired tile pattern; keep patterns structured, spacious, and non-stereotyped.",,Medium
Hispanic Fall 14,Hispanic,Fall,Environment page,"Cozy Hispanic reading corner with an upholstered chair, layered woven blanket, floor lamp, houseplants, stacked books, and a small side table; autumn light through the window creates a protected retreat for reflection.",,High
Hispanic Fall 15,Hispanic,Fall,Environment page,"Warm Hispanic dining-room sanctuary with a wooden table, simple ceramic place settings, woven runner, potted plant, candle, and soft window light; orderly surfaces and open pathways communicate peace, stability, and home.",,Medium
Hispanic Winter 01,Hispanic,Winter,Solo portrait,"Latina woman in her 40s with loose wavy dark hair, seated beside a winter window writing in a journal with one hand near a small candle; layered sweater, houseplant, and quiet posture convey inward reflection and hope.",,High
Hispanic Winter 02,Hispanic,Winter,Solo portrait,"Latino man in his 30s with short curly hair, bundled in a textured coat and scarf on a quiet winter morning walk; bare trees, light frost, and a clear path frame his steady stride and sense of purpose.",,Medium
Hispanic Winter 03,Hispanic,Winter,Solo portrait,"Hispanic young adult with curly dark hair seated at a table coloring a mandala-style page, wrapped in a soft blanket beside a warm lamp; books and a mug create a focused winter retreat for mindful self-expression.",,High
Hispanic Winter 04,Hispanic,Winter,Solo portrait,"Latina woman in her 40s with a long braid seated comfortably near a window, holding cocoa while gentle music plays from a small speaker; candlelight, folded textile, and relaxed shoulders make the scene feel tender and restorative.",,High
Hispanic Winter 05,Hispanic,Winter,Community scene,"Five Hispanic adults gathered indoors in a welcoming support room, seated in a comfortable circle with notebooks and warm drinks; simple winter textiles, a small plant, and soft lamps create safety, connection, and attentive listening.",,High
Hispanic Winter 06,Hispanic,Winter,Community scene,"Hispanic parent and adult child seated together on a living-room sofa, leaning toward one another during a calm healing conversation; mugs on a low table, family photos, and a woven throw create warmth without implying conflict.",,Medium
Hispanic Winter 07,Hispanic,Winter,Community scene,"Three Hispanic friends gathered in a cozy living room during winter, checking in with one another over warm drinks; relaxed smiles, open posture, blankets, and a softly lit window make care and friendship the visual focus.",,Medium
Hispanic Winter 08,Hispanic,Winter,Community scene,"Hispanic family enjoying a quiet winter game night around a dining table, adults and younger family members laughing and reaching for game pieces; warm drinks, simple snacks, and layered textiles emphasize safe connection and shared joy.",,High
Hispanic Winter 09,Hispanic,Winter,Quote page,"Winter border with a glowing candle, small stars, evergreen sprigs, delicate snowflakes, and an upward trail of light around generous central space; the composition should feel hopeful rather than cold.",La esperanza regresa.,High
Hispanic Winter 10,Hispanic,Winter,Quote page,"Tender winter border built from a candle flame, folded woven textile, small flowers, stars, and gentle curved lines; keep the center open and soft, visually reinforcing the right to receive care and tenderness.",Merezco ternura.,High
Hispanic Winter 11,Hispanic,Winter,Quote page,"Minimal winter composition with a winding path, small snowflakes, tiny footprints, evergreen sprigs, and a rising sun near the horizon; generous open space emphasizes steady progress one step at a time.",Poco a poco.,High
Hispanic Winter 12,Hispanic,Winter,Symbol page,"Winter symbol cluster of stars, candle, knitted mitten, heart, evergreen sprig, mug, and small snowflake arranged in a balanced circle; use clean separate motifs with plenty of white space.",,Medium
Hispanic Winter 13,Hispanic,Winter,Decorative page,"Decorative winter arrangement featuring folded woven blankets, ceramic mugs, lantern, evergreen branches, simple geometric textile patterns, and snowflake accents; structured shapes keep the page warm, elegant, and easy to color.",,Medium
Hispanic Winter 14,Hispanic,Winter,Environment page,"Cozy Hispanic bedroom retreat with layered woven blankets, upholstered chair, bedside lamp, books, small candle, and a potted plant near the window; the room is orderly, quiet, and intentionally designed as a safe place to recharge.",,High
Hispanic Winter 15,Hispanic,Winter,Environment page,"Peaceful Hispanic living room with a comfortable sofa, books, warm mugs, woven throw, houseplants, floor lamp, and winter view through the window; balanced furniture and open floor space create a grounded sanctuary for reflection.",,Medium
Multiracial Spring 01,Multiracial,Spring,Solo portrait,Multiracial woman journaling near blooming plants.,,High
Multiracial Spring 02,Multiracial,Spring,Solo portrait,Multiracial man walking at sunrise in a city park.,,Medium
Multiracial Spring 03,Multiracial,Spring,Solo portrait,Young adult doing breathwork by an open window.,,High
Multiracial Spring 04,Multiracial,Spring,Solo portrait,Person wrapped in blanket practicing self-kindness.,,High
Multiracial Spring 05,Multiracial,Spring,Community scene,Diverse support circle in community setting.,,High
Multiracial Spring 06,Multiracial,Spring,Community scene,Blended family planting flowers together.,,Medium
Multiracial Spring 07,Multiracial,Spring,Community scene,Two friends of different backgrounds sharing encouragement.,,Medium
Multiracial Spring 08,Multiracial,Spring,Community scene,Mentor and participant leaving a healing workshop.,,High
Multiracial Spring 09,Multiracial,Spring,Quote page,Butterflies and floral border.,New beginnings belong to me.,High
Multiracial Spring 10,Multiracial,Spring,Quote page,Hands and garden accents.,Healing has many faces.,High
Multiracial Spring 11,Multiracial,Spring,Quote page,Soft sky and open space.,I am safe to grow.,High
Multiracial Spring 12,Multiracial,Spring,Symbol page,"Butterflies, hands, hearts, and flowers.",,Medium
Multiracial Spring 13,Multiracial,Spring,Decorative page,"Journals, rain boots, and spring border.",,Medium
Multiracial Spring 14,Multiracial,Spring,Environment page,Apartment sanctuary with plants and soft textures.,,High
Multiracial Spring 15,Multiracial,Spring,Environment page,"Wellness room with chairs, art, and calm details.",,Medium
Multiracial Summer 01,Multiracial,Summer,Solo portrait,Person meditating under a tree.,,High
Multiracial Summer 02,Multiracial,Summer,Solo portrait,Person by water reflecting in sunlight.,,Medium
Multiracial Summer 03,Multiracial,Summer,Solo portrait,Young adult stretching on rooftop or lawn.,,High
Multiracial Summer 04,Multiracial,Summer,Solo portrait,Person sipping lemonade on a stoop or balcony.,,Medium
Multiracial Summer 05,Multiracial,Summer,Community scene,Diverse outdoor support group.,,High
Multiracial Summer 06,Multiracial,Summer,Community scene,Blended family picnic scene.,,High
Multiracial Summer 07,Multiracial,Summer,Community scene,Friends walking together after group.,,Medium
Multiracial Summer 08,Multiracial,Summer,Community scene,Peer-support conversation on a city bench.,,Medium
Multiracial Summer 09,Multiracial,Summer,Quote page,Freedom and peace motif.,Freedom can look like peace.,High
Multiracial Summer 10,Multiracial,Summer,Quote page,Sun and bright accents.,My joy counts too.,High
Multiracial Summer 11,Multiracial,Summer,Quote page,Open sky and bold text space.,I am becoming.,High
Multiracial Summer 12,Multiracial,Summer,Symbol page,"Suns, flowers, waves, and hearts.",,Medium
Multiracial Summer 13,Multiracial,Summer,Decorative page,"Sandals, fruit, and notebooks.",,Medium
Multiracial Summer 14,Multiracial,Summer,Environment page,Backyard or balcony healing corner.,,Medium
Multiracial Summer 15,Multiracial,Summer,Environment page,Urban garden community scene.,,High
Multiracial Fall 01,Multiracial,Fall,Solo portrait,Person journaling with leaves outside window.,,High
Multiracial Fall 02,Multiracial,Fall,Solo portrait,Person holding tea during a reflective walk.,,Medium
Multiracial Fall 03,Multiracial,Fall,Solo portrait,Young adult curled in chair with calming book.,,High
Multiracial Fall 04,Multiracial,Fall,Solo portrait,Person doing evening reflection by candlelight.,,High
Multiracial Fall 05,Multiracial,Fall,Community scene,Support group in warm-toned room.,,High
Multiracial Fall 06,Multiracial,Fall,Community scene,Blended family cooking together peacefully.,,Medium
Multiracial Fall 07,Multiracial,Fall,Community scene,Close friends sharing gratitude notes.,,Medium
Multiracial Fall 08,Multiracial,Fall,Community scene,Therapist-like or peer-support check-in scene.,,High
Multiracial Fall 09,Multiracial,Fall,Quote page,Release and growth motif.,I release what no longer holds me.,High
Multiracial Fall 10,Multiracial,Fall,Quote page,Soft blanket and tea accents.,I can rest without guilt.,High
Multiracial Fall 11,Multiracial,Fall,Quote page,Change and worth theme.,Change does not erase my worth.,High
Multiracial Fall 12,Multiracial,Fall,Symbol page,"Leaves, candles, journals, and hearts.",,Medium
Multiracial Fall 13,Multiracial,Fall,Decorative page,"Sweaters, mugs, and harvest details.",,Medium
Multiracial Fall 14,Multiracial,Fall,Environment page,Window seat sanctuary with blanket and plants.,,High
Multiracial Fall 15,Multiracial,Fall,Environment page,Peaceful kitchen or dining table scene.,,Medium
Multiracial Winter 01,Multiracial,Winter,Solo portrait,Person journaling with snow outside.,,High
Multiracial Winter 02,Multiracial,Winter,Solo portrait,Person walking in quiet winter light.,,Medium
Multiracial Winter 03,Multiracial,Winter,Solo portrait,Young adult coloring under a blanket.,,High
Multiracial Winter 04,Multiracial,Winter,Solo portrait,Person holding warm drink in soft lamplight.,,High
Multiracial Winter 05,Multiracial,Winter,Community scene,Diverse indoor support circle.,,High
Multiracial Winter 06,Multiracial,Winter,Community scene,Blended family exchanging kind notes.,,Medium
Multiracial Winter 07,Multiracial,Winter,Community scene,Couple or friends watching snowfall in peace.,,Medium
Multiracial Winter 08,Multiracial,Winter,Community scene,Check-in call or visit scene with emotional support.,,High
Multiracial Winter 09,Multiracial,Winter,Quote page,Warmth and light motif.,Warmth can begin within.,High
Multiracial Winter 10,Multiracial,Winter,Quote page,Quiet strength border.,"I am still here, and that matters.",High
Multiracial Winter 11,Multiracial,Winter,Quote page,Winter calm and bold lettering.,Gentleness is strength.,High
Multiracial Winter 12,Multiracial,Winter,Symbol page,"Stars, candles, mittens, and hearts.",,Medium
Multiracial Winter 13,Multiracial,Winter,Decorative page,"Snowflakes, books, mugs, and quilts.",,Medium
Multiracial Winter 14,Multiracial,Winter,Environment page,Cozy living room with layered textures.,,High
Multiracial Winter 15,Multiracial,Winter,Environment page,Bedroom or meditation corner with winter calm.,,Medium
