ethnicity line,season,product type,priority,position in launch,format role,notes
Multiracial,Spring,Flagship,High,Launch first,Hero product,"Multiracial Spring Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three spring books."
Multiracial,Spring,Renewal,Medium,Launch first,Core product,"Multiracial Spring Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three spring books."
Multiracial,Spring,Mindfulness,High,Launch first,Core product,"Multiracial Spring Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three spring books."
Multiracial,Spring,Self-Care,Medium,Launch first,Support product,"Multiracial Spring Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three spring books."
Multiracial,Summer,Flagship,High,Launch second,Hero product,"Multiracial Summer Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three summer books."
Multiracial,Summer,Renewal,Medium,Launch second,Core product,"Multiracial Summer Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three summer books."
Multiracial,Summer,Mindfulness,High,Launch second,Core product,"Multiracial Summer Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three summer books."
Multiracial,Summer,Self-Care,Medium,Launch second,Support product,"Multiracial Summer Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three summer books."
Multiracial,Fall,Flagship,High,Launch third,Hero product,"Multiracial Fall Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three fall books."
Multiracial,Fall,Renewal,Medium,Launch third,Core product,"Multiracial Fall Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three fall books."
Multiracial,Fall,Mindfulness,High,Launch third,Core product,"Multiracial Fall Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three fall books."
Multiracial,Fall,Self-Care,Medium,Launch third,Support product,"Multiracial Fall Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three fall books."
Multiracial,Winter,Flagship,High,Launch fourth,Hero product,"Multiracial Winter Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three winter books."
Multiracial,Winter,Renewal,Medium,Launch fourth,Core product,"Multiracial Winter Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three winter books."
Multiracial,Winter,Mindfulness,High,Launch fourth,Core product,"Multiracial Winter Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three winter books."
Multiracial,Winter,Self-Care,Medium,Launch fourth,Support product,"Multiracial Winter Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three winter books."
