Text / Quote,Category,Style,Suggested Images / Visual Elements,Design Prompt
I can love you and still leave you.,Love,Boundaries,,
Peace looks good on me.,Healing,Confident,,
I stopped explaining myself to people committed to misunderstanding me.,Boundaries,Sassy,,
My healing is louder than your apology.,Healing,Bold,,
No response is still a response.,Boundaries,Sassy,,
I don't owe access to anyone who mishandled it.,Self-Respect,Bold,,
Don't confuse my silence with permission.,Boundaries,Confrontational,,
Character is what you do when nobody is clapping.,Truth,Reflective,,
"If the truth ruins your story, rewrite the story.",Honesty,Confrontational,,
I don't need revenge. I need distance.,DV,Sassy,,
The version of me you hurt doesn't live here anymore.,Healing,Bold,,
Recovery gave me a life worth protecting.,Recovery,Motivational,,
Clean is the flex.,Recovery,Sassy,,
My recovery is not up for debate.,Recovery,Confident,,
One day at a time. Still counts.,Recovery,Supportive,,
I didn't find myself. I built myself.,Self-Esteem,Motivational,,
Soft heart. Strong boundaries.,Self-Respect,Confident,,
You can be sorry and still be unsafe for me.,DV,Truth,,
"Respect is the minimum, not the reward.",Self-Respect,Bold,,
I am not responsible for the version of me you invented.,Truth,Sassy,,
Your access expired.,Boundaries,Sassy,,
I outgrew the argument.,Healing,Sassy,,
No more surviving. I'm building.,Motivational,Bold,,
I choose progress over perfection.,Motivational,Supportive,,
"My story has scars, not shame.",DV,Empowering,,
I don't shrink to make dysfunction comfortable.,Self-Respect,Confrontational,,
Healthy feels unfamiliar when chaos was normal.,Healing,Informative,,
Don't call it an attitude when it's a boundary.,Boundaries,Sassy,,
I know my worth—and I brought receipts.,Self-Esteem,Sassy,,
Protect your peace like you worked hard for it. Because you did.,Self-Care,Motivational,,
"Built from lessons, not bitterness.",Healing,Confident,,
