Design ID,Text / Quote,Category,Tone,Art Style,Lettering Style,Visual Elements,Color Direction,Product / Placement,Collection,Priority,Status,Review Flag,Asset Link,Notes
VVS-0054,F.I.L. Fix your life,Accountability,Truth,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0055,Act your way into a new way of thinking,Motivational,Motivational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0056,I AM...,Self-Esteem,Confident,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0057,Put a Step on it,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0058,"Never Alone, Never Again",Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0059,"Make the effort, it's worth it",Motivational,Motivational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0060,My crazy looks different,Self-Awareness,Reflective,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0061,Broken Toy Store,Healing,Supportive,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0062,I said that? Wow I'm just as surprised as you,Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0063,"I can control my mouth, I choose not to",Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0064,Huh? What did you say? I wasn't listening,Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0065,If they can't lift you then they can't drop you,Boundaries,Confrontational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0066,Success is never giving up,Motivational,Motivational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0067,"If they can't reach you, then they can't top you",Confident,Confident,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0068,"I got time for shit, just not your shit",Boundaries,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0069,I'm my own cheerleader (or pep squad),Self-Esteem,Confident,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0070,My coffee keeps others safe,Humor / Sass,Humorous,Retro Diner / Comic,Retro Display,"A coffee mug wearing a tiny SAFETY OFFICER badge, steam shaped into hazard stripes, a small warning-label icon and a CAUTION stamp. Playful diner-counter energy with motion lines and a small starburst. Funny, not aggressive.","Coffee brown, cream, red, charcoal black","White or cream tee, front center",Sass & Survival,Medium,Prompt Ready,Clear,,"Production: centered front print, transparent background, bold flat colors. Avoid: real chemical/hazard symbols, aggressive imagery, tiny unreadable text, mockups, people, watermark."
VVS-0071,I'm only as strong as my belief,Motivational,Motivational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0072,L.M.K.H.T.W.O.F.Y. (Let me know how that works out for you),Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0073,B.L.A.M.E.,Accountability,Truth,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0074,"Built Different, but I think some screws are loose",Humor / Sass,Humorous,Retro Comic,Bubble Caps,"Robot with one small loose screw floating above its head. Add a few simple bolts, comic starbursts, and motion lines. The robot should look quirky and confident, not broken or sad.","cobalt blue, cream, red, charcoal black","Create a large centered front-print design with transparent background, bold outlines, limited flat colors, and strong readability.",,,Idea,Clear,,
VVS-0075,"If God is testing me, then let Him grade me.",Faith,Reflective,,,,,,,,Idea,Clear,,
VVS-0076,Trying is not the same as Doing,Accountability,Accountability,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0077,Ain't my circus but I know the monkeys,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0078,"Might not be my circus, but I'm a certified ringmaster",Confident,Confident,,,,,,,,Idea,Clear,,
VVS-0079,Error 404: Sleep not found,Humor,Humorous,,,,,,,,Idea,Clear,,
VVS-0080,This is a Way Out / There's a way out,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0081,I meet people where they are... I also leave them where they're at.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0082,"Wheel of Feelings: Chest punchy, face slappy, pushy-shovey, throat choppy.",Humor,Humorous,,,,,,,,Idea,Clear,,
VVS-0083,Pouring into ME!,Self-Care,Positive,,,,,,,,Idea,Clear,,
VVS-0084,I said what? I'm as surprised as you are!,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0085,I'm not difficult. I'm no longer convenient.,Boundaries,Bold,Editorial Typographic Poster,Bold Sans + Italic accent,"Clean editorial layout: I'M NOT DIFFICULT. in large bold type, with I'm no longer convenient. in a smaller italic line beneath, set inside a simple geometric frame with a subtle closed-door motif. Minimal, sophisticated statement-piece energy.","Black, cream, single accent of rust red","Black tee, front center",Boundaries Series,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, high-contrast typography. Avoid: cluttered graphics, generic girl-boss imagery, mockups, people, watermark, tiny unreadable text."
VVS-0086,Accountability feels like disrespect when you are used to control.,Accountability,Truth,,,,,,,,Idea,Clear,,
VVS-0087,"You weren't misunderstood, You were understood and disagreed with",Truth,Truth,,,,,,,,Idea,Clear,,
VVS-0088,Boundaries look like attitude to people who benefitted from your lack of them.,Other,Bold,,,,,,,,Idea,Clear,,
VVS-0089,Doctor or Dirt? 😑,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0090,You have to have good character in order for it to be assassinated.,Truth,Sassy,,,,,,,,Idea,Clear,,
VVS-0091,I don't chase. I choose.,Confidence,Confident,Luxury Editorial Typography,Serif Display + Script,"A chess queen piece as the focal symbol, with a subtle crown and directional arrows pointing forward, set in a luxe minimal composition. Strong, deliberate, I-am-the-one-deciding energy.","Black, cream, gold, deep emerald accent","Black tee, front center",Confidence Series,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, print-friendly metallic-gold accents rendered as flat gold. Avoid: chase/pursuit imagery, romantic or couple imagery, mockups, people, watermark, tiny text."
VVS-0092,My peace is not up for negotiation.,Boundaries,Bold,Minimal Symbolic,Bold Sans,"A closed/locked gate with soft sunlight visible beyond the boundary line, a small CLOSED sign, and clean geometric linework. The phrase as the strong focal point. Calm but immovable.","Charcoal black, cream, muted teal, soft gold","Black tee, front center",Boundaries Series,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, high contrast. Avoid: aggressive or barbed imagery, prison motifs, sad tone, generic mountains, mockups, people, watermark."
VVS-0093,"Healing changed my tolerance, not my heart.",Healing,Reflective,,,,,,,,Idea,Clear,,
VVS-0094,I survived what was supposed to break me.,DV & Survivorship,Resilient,Emotional illustrative,Serif Editorial,"Cracked stone or broken concrete transforming into a butterfly or blooming flower, with an open doorway letting in daylight beyond. Dignified survivor imagery, strength emerging from fracture. Optional restrained purple ribbon accent.","Deep purple, black, soft gold, cream","Black tee, front center",Survivor Series,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, screen-print-friendly. Survivor-forward, not trauma-forward. Avoid: graphic violence, injuries, weapons, victim or abuse depictions, mockups, people, watermark, tiny text."
VVS-0095,Leaving was not losing. Leaving was choosing me.,DV,Empowering,,,,,,,,Idea,Clear,,
VVS-0096,You don't get access just because you miss me.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0097,Accountability is not an attack.,Accountability,Informative,,,,,,,,Idea,Clear,,
VVS-0098,Your opinion is not my identity.,Self-Esteem,Confident,,,,,,,,Idea,Clear,,
VVS-0099,I can love you and still leave you.,Love,Boundaries,,,,,,,,Idea,Clear,,
VVS-0100,Peace looks good on me.,Healing,Sassy,Retro Groovy,,"Stylish sunglasses, soft sun rays, clouds, small stars. 1970's-inspired groovy lettering","Lavender, orange, cream and teal","Isolated transparent-background design, bold print-friendly shapes",,,Idea,Clear,,
VVS-0101,I stopped explaining myself to people committed to misunderstanding me.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0102,My healing is louder than your apology.,Healing,Bold,,,,,,,,Idea,Clear,,
VVS-0103,No response is still a response.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0104,I don't owe access to anyone who mishandled it.,Self-Respect,Bold,,,,,,,,Idea,Clear,,
VVS-0105,Don't confuse my silence with permission.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0106,Character is what you do when nobody is clapping.,Truth,Reflective,,,,,,,,Idea,Clear,,
VVS-0107,"If the truth ruins your story, rewrite the story.",Honesty,Confrontational,,,,,,,,Idea,Clear,,
VVS-0108,I don't need revenge. I need distance.,DV,Sassy,,,,,,,,Idea,Clear,,
VVS-0109,The version of me you hurt doesn't live here anymore.,Healing,Bold,,,,,,,,Idea,Clear,,
VVS-0110,Recovery gave me a life worth protecting.,Recovery,Motivational,,,,,,,,Idea,Clear,,
VVS-0111,Clean is the flex.,Recovery,Sassy,,,,,,,,Idea,Clear,,
VVS-0112,My recovery is not up for debate.,Recovery,Confident,,,,,,,,Idea,Clear,,
VVS-0113,One day at a time. Still counts.,Recovery,Supportive,,,,,,,,Idea,Clear,,
VVS-0114,I didn't find myself. I built myself.,Self-Worth,Confident,Architectural / Blueprint Editorial,Bold Sans + Technical accent,"A silhouette actively building and assembling itself, like constructing a structure from blocks or a blueprint coming to life, with scaffolding, drafting lines, and a rising foundation. Built-not-found, self-authored strength.","Charcoal black, cream, blueprint blue, warm gold","Black tee, front center",Confidence Series,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, bold print-friendly shapes. Use silhouette only, no detailed human face. Avoid: lost-and-found romantic imagery, generic mountains, mockups, people, watermark, tiny text."
VVS-0115,Soft heart. Strong boundaries.,Self-Respect,Confident,,,,,,,,Idea,Clear,,
VVS-0116,You can be sorry and still be unsafe for me.,DV,Truth,,,,,,,,Idea,Clear,,
VVS-0117,"Respect is the minimum, not the reward.",Self-Respect,Bold,,,,,,,,Idea,Clear,,
VVS-0118,I am not responsible for the version of me you invented.,Truth,Sassy,,,,,,,,Idea,Clear,,
VVS-0119,Your access expired.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0120,I outgrew the argument.,Healing,Sassy,,,,,,,,Idea,Clear,,
VVS-0121,No more surviving. I'm building.,Motivational,Bold,,,,,,,,Idea,Clear,,
VVS-0122,I choose progress over perfection.,Motivational,Supportive,,,,,,,,Idea,Clear,,
VVS-0123,"My story has scars, not shame.",DV,Empowering,,,,,,,,Idea,Clear,,
VVS-0124,I don't shrink to make dysfunction comfortable.,Self-Respect,Confrontational,,,,,,,,Idea,Clear,,
VVS-0125,Healthy feels unfamiliar when chaos was normal.,Healing,Informative,,,,,,,,Idea,Clear,,
VVS-0126,Don't call it an attitude when it's a boundary.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0127,I know my worth—and I brought receipts.,Self-Esteem,Sassy,,,,,,,,Idea,Clear,,
VVS-0128,Protect your peace like you worked hard for it. Because you did.,Self-Care,Motivational,,,,,,,,Idea,Clear,,
VVS-0129,"Built from lessons, not bitterness.",Healing,Confident,,,,,,,,Idea,Clear,,
VVS-0130,Listenin' for the GOOD E.S.H.,Recovery,Supportive,Editorial Typographic,Sans Display,,,"Red tee, front center",Recovery Culture,,Launched,Clear,,
VVS-0131,"""Healing Is Not a Straight Line""",Healing,Supportive,Botanical Line,Hand-Marker,"Graceful winding path leading towards a soft sunrise, wildflowers along the path, and an understated broken-line motif","warm earth tones with muted peach, gold, and sage. ","Centered composition, transparent background, clean high-contrast lettering, no shirt mockup, no watermark.",,,,Clear,,
VVS-0132,My Boundaries Are Not Up for Debate,Boundaries,Bold,Streetwear Graffiti,Block Outline,"Stop-sign-inspired geometric shaped element, strong linework, spark accents","Crisp black, cream and red palette","Centered composition, transparent background, clean high-contrast lettering, no shirt mockup, no watermark.",Modern streetwear typography,,,Clear,,
VVS-0133,I Survived What Was Meant To Silence Me,DV & Survivorship,Resilient,Emotional illustrative,Sans Display,A butterfly emerging from a fractured shadow with restrained purple ribbon accents. A strong readable lettering style,deep purple black and soft golds,"Transparent background, screen-print-friendly, no mockup, no watermark",,,,Clear,,
VVS-0134,Progress over Perfection,Recovery,Motivational,Bold Minimal,modern typography,Subtle stepping stones moving upward toward a small sunrise,"Calm sage green, sage, and warm gold","Balanced center composition: transparent background, no mockup, no watermark",,,,Clear,,
VVS-0135,Truth Told Me To Stop Shrinking,Truth & Accountability,Confrontational,Urban graffiti,Serif Editorial,"Oversized expressive lettering, a cracked rectangular frame, and subtle rising flame accents","Black, white, electric orange","Transparent background; no shirt, no person , no watermark",,,,Clear,,Create a powerful streetwear-style t-shirt graphic
VVS-0136,"Soft Heart, Strong Spine",Self-Worth,Confident,Feminine,Sophisticated editorial,Combine a simple heart outline with a floral spine motif and thorn-free roses,"Burgundy, blush, cream, and dark green","Transparent background, no mockup, no watermark",,,,Clear,,
VVS-0137,I Am Allowed To Begin Again,Recovery,Reflective,Celestial,Sans Display,Dreamy celestial Moon phases flowing into a dawn sky and a small emerging seedling,"Navy, muted lavender, and warm cream","Transparent background; no mockup, no watermark",,,,Clear,,
