Design ID,Text / Quote,Category,Tone,Art Style,Lettering Style,Visual Elements,Color Direction,Product / Placement,Collection,Priority,Status,Review Flag,Asset Link,Notes
VVS-0042,Not a dumptruck,Recovery,Sassy,,,,,,,,Idea,Brand / Legal Review,,
VVS-0043,Recovery is an uphill journey,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0044,Fathers Matter,Family,Supportive,,,,,,,,Idea,Clear,,
VVS-0045,Leave a legacy not a curse,Family,Supportive,,,,,,,,Idea,Clear,,
VVS-0046,Self esteem,Self-Esteem,Confident,,,,,,,,Idea,Clear,,
VVS-0047,My Fuck You game is strong,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0048,Power of the WE,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0049,I'm Judgey,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0050,They will... LET THEM,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0051,This Ain't What You Want,Confident,Confident,,,,,,,,Idea,Clear,,
VVS-0052,F.O.C.U.S. (Fuck off cuz you're stupid),Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0053,"Your face, your problem",Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0054,F.I.L. Fix your life,Accountability,Truth,,,,,,,,Idea,Clear,,
VVS-0055,Act your way into a new way of thinking,Motivational,Motivational,,,,,,,,Idea,Clear,,
VVS-0056,I AM...,Self-Esteem,Confident,,,,,,,,Idea,Clear,,
VVS-0057,Put a Step on it,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0058,"Never Alone, Never Again",Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0059,"Make the effort, it's worth it",Motivational,Motivational,,,,,,,,Idea,Clear,,
VVS-0060,My crazy looks different,Self-Awareness,Reflective,,,,,,,,Idea,Clear,,
VVS-0061,Broken Toy Store,Healing,Supportive,,,,,,,,Idea,Clear,,
VVS-0062,I said that? Wow I'm just as surprised as you,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0063,"I can control my mouth, I choose not to",Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0064,Huh? What did you say? I wasn't listening,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0065,If they can't lift you then they can't drop you,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0066,Success is never giving up,Motivational,Motivational,,,,,,,,Idea,Clear,,
VVS-0067,"If they can't reach you, then they can't top you",Confident,Confident,,,,,,,,Idea,Clear,,
VVS-0068,"I got time for shit, just not your shit",Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0069,I'm my own cheerleader (or pep squad),Self-Esteem,Confident,,,,,,,,Idea,Clear,,
VVS-0070,My coffee keeps others safe,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0071,I'm only as strong as my belief,Motivational,Motivational,,,,,,,,Idea,Clear,,
VVS-0072,L.M.K.H.T.W.O.F.Y. (Let me know how that works out for you),Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0073,B.L.A.M.E.,Accountability,Truth,,,,,,,,Idea,Clear,,
VVS-0074,"Built Different, but I think some screws are loose",Humor,Humorous,,,,,,,,Idea,Clear,,
VVS-0075,"If God is testing me, then let Him grade me.",Faith,Reflective,,,,,,,,Idea,Clear,,
VVS-0076,Trying is not the same as Doing,Accountability,Accountability,,,,,,,,Idea,Clear,,
VVS-0077,Ain't my circus but I know the monkeys,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0078,"Might not be my circus, but I'm a certified ringmaster",Confident,Confident,,,,,,,,Idea,Clear,,
VVS-0079,Error 404: Sleep not found,Humor,Humorous,,,,,,,,Idea,Clear,,
VVS-0080,This is a Way Out / There's a way out,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0081,I meet people where they are... I also leave them where they're at.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0082,"Wheel of Feelings: Chest punchy, face slappy, pushy-shovey, throat choppy.",Humor,Humorous,,,,,,,,Idea,Clear,,
VVS-0083,Pouring into ME!,Self-Care,Positive,,,,,,,,Idea,Clear,,
VVS-0084,I said what? I'm as surprised as you are!,Sassy,Sassy,,,,,,,,Idea,Clear,,
VVS-0085,I'm not difficult. I'm no longer convenient.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0086,Accountability feels like disrespect when you are used to control.,Accountability,Truth,,,,,,,,Idea,Clear,,
VVS-0087,"You weren't misunderstood, You were understood and disagreed with",Truth,Truth,,,,,,,,Idea,Clear,,
VVS-0088,Boundaries look like attitude to people who benefitted from your lack of them.,Other,Bold,,,,,,,,Idea,Clear,,
VVS-0089,Doctor or Dirt? 😑,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0090,You have to have good character in order for it to be assassinated.,Truth,Sassy,,,,,,,,Idea,Clear,,
VVS-0091,I don't chase. I choose.,Self-Respect,Confident,,,,,,,,Idea,Clear,,
VVS-0092,My peace is not up for negotiation.,Boundaries,Bold,,,,,,,,Idea,Clear,,
VVS-0093,"Healing changed my tolerance, not my heart.",Healing,Reflective,,,,,,,,Idea,Clear,,
VVS-0094,I survived what was supposed to break me.,DV,Motivational,,,,,,,,Idea,Clear,,
VVS-0095,Leaving was not losing. Leaving was choosing me.,DV,Empowering,,,,,,,,Idea,Clear,,
VVS-0096,You don't get access just because you miss me.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0097,Accountability is not an attack.,Accountability,Informative,,,,,,,,Idea,Clear,,
VVS-0098,Your opinion is not my identity.,Self-Esteem,Confident,,,,,,,,Idea,Clear,,
VVS-0099,I can love you and still leave you.,Love,Boundaries,,,,,,,,Idea,Clear,,
VVS-0100,Peace looks good on me.,Healing,Confident,,,,,,,,Idea,Clear,,
VVS-0101,I stopped explaining myself to people committed to misunderstanding me.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0102,My healing is louder than your apology.,Healing,Bold,,,,,,,,Idea,Clear,,
VVS-0103,No response is still a response.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0104,I don't owe access to anyone who mishandled it.,Self-Respect,Bold,,,,,,,,Idea,Clear,,
VVS-0105,Don't confuse my silence with permission.,Boundaries,Confrontational,,,,,,,,Idea,Clear,,
VVS-0106,Character is what you do when nobody is clapping.,Truth,Reflective,,,,,,,,Idea,Clear,,
VVS-0107,"If the truth ruins your story, rewrite the story.",Honesty,Confrontational,,,,,,,,Idea,Clear,,
VVS-0108,I don't need revenge. I need distance.,DV,Sassy,,,,,,,,Idea,Clear,,
VVS-0109,The version of me you hurt doesn't live here anymore.,Healing,Bold,,,,,,,,Idea,Clear,,
VVS-0110,Recovery gave me a life worth protecting.,Recovery,Motivational,,,,,,,,Idea,Clear,,
VVS-0111,Clean is the flex.,Recovery,Sassy,,,,,,,,Idea,Clear,,
VVS-0112,My recovery is not up for debate.,Recovery,Confident,,,,,,,,Idea,Clear,,
VVS-0113,One day at a time. Still counts.,Recovery,Supportive,,,,,,,,Idea,Brand / Legal Review,,
VVS-0114,I didn't find myself. I built myself.,Self-Esteem,Motivational,,,,,,,,Idea,Clear,,
VVS-0115,Soft heart. Strong boundaries.,Self-Respect,Confident,,,,,,,,Idea,Clear,,
VVS-0116,You can be sorry and still be unsafe for me.,DV,Truth,,,,,,,,Idea,Clear,,
VVS-0117,"Respect is the minimum, not the reward.",Self-Respect,Bold,,,,,,,,Idea,Clear,,
VVS-0118,I am not responsible for the version of me you invented.,Truth,Sassy,,,,,,,,Idea,Clear,,
VVS-0119,Your access expired.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0120,I outgrew the argument.,Healing,Sassy,,,,,,,,Idea,Clear,,
VVS-0121,No more surviving. I'm building.,Motivational,Bold,,,,,,,,Idea,Clear,,
VVS-0122,I choose progress over perfection.,Motivational,Supportive,,,,,,,,Idea,Clear,,
VVS-0123,"My story has scars, not shame.",DV,Empowering,,,,,,,,Idea,Clear,,
VVS-0124,I don't shrink to make dysfunction comfortable.,Self-Respect,Confrontational,,,,,,,,Idea,Clear,,
VVS-0125,Healthy feels unfamiliar when chaos was normal.,Healing,Informative,,,,,,,,Idea,Clear,,
VVS-0126,Don't call it an attitude when it's a boundary.,Boundaries,Sassy,,,,,,,,Idea,Clear,,
VVS-0127,I know my worth—and I brought receipts.,Self-Esteem,Sassy,,,,,,,,Idea,Clear,,
VVS-0128,Protect your peace like you worked hard for it. Because you did.,Self-Care,Motivational,,,,,,,,Idea,Clear,,
VVS-0129,"Built from lessons, not bitterness.",Healing,Confident,,,,,,,,Idea,Clear,,
VVS-0130,Listenin' for the GOOD E.S.H.,Recovery,Supportive,Editorial Typographic,Sans Display,,,"Red tee, front center",Recovery Culture,,Launched,Brand / Legal Review,,listenin.png - white square very visible on red; thin low-contrast type prints poorly on DTF; rework
