title,ethnicity line,season,page type,prompt notes,quote text,commercial priority
Hispanic Winter 09,Hispanic,Winter,Quote page,Winter light and soft stars.,La esperanza regresa.,High
Hispanic Winter 10,Hispanic,Winter,Quote page,Candle and cozy texture.,Merezco ternura.,High
Hispanic Winter 11,Hispanic,Winter,Quote page,Snow and light motif.,Poco a poco.,High
Hispanic Winter 12,Hispanic,Winter,Symbol page,"Stars, candles, mittens, and hearts.",,Medium
Hispanic Winter 13,Hispanic,Winter,Decorative page,"Quilts, mugs, lanterns, and winter shapes.",,Medium
Hispanic Winter 14,Hispanic,Winter,Environment page,Cozy bedroom retreat with layered blankets.,,High
Hispanic Winter 15,Hispanic,Winter,Environment page,Quiet living room with books and warm drinks.,,Medium
Multiracial Spring 01,Multiracial,Spring,Solo portrait,Multiracial woman journaling near blooming plants.,,High
Multiracial Spring 02,Multiracial,Spring,Solo portrait,Multiracial man walking at sunrise in a city park.,,Medium
Multiracial Spring 03,Multiracial,Spring,Solo portrait,Young adult doing breathwork by an open window.,,High
Multiracial Spring 04,Multiracial,Spring,Solo portrait,Person wrapped in blanket practicing self-kindness.,,High
Multiracial Spring 05,Multiracial,Spring,Community scene,Diverse support circle in community setting.,,High
Multiracial Spring 06,Multiracial,Spring,Community scene,Blended family planting flowers together.,,Medium
Multiracial Spring 07,Multiracial,Spring,Community scene,Two friends of different backgrounds sharing encouragement.,,Medium
Multiracial Spring 08,Multiracial,Spring,Community scene,Mentor and participant leaving a healing workshop.,,High
Multiracial Spring 09,Multiracial,Spring,Quote page,Butterflies and floral border.,New beginnings belong to me.,High
Multiracial Spring 10,Multiracial,Spring,Quote page,Hands and garden accents.,Healing has many faces.,High
Multiracial Spring 11,Multiracial,Spring,Quote page,Soft sky and open space.,I am safe to grow.,High
Multiracial Spring 12,Multiracial,Spring,Symbol page,"Butterflies, hands, hearts, and flowers.",,Medium
Multiracial Spring 13,Multiracial,Spring,Decorative page,"Journals, rain boots, and spring border.",,Medium
Multiracial Spring 14,Multiracial,Spring,Environment page,Apartment sanctuary with plants and soft textures.,,High
Multiracial Spring 15,Multiracial,Spring,Environment page,"Wellness room with chairs, art, and calm details.",,Medium
Multiracial Summer 01,Multiracial,Summer,Solo portrait,Person meditating under a tree.,,High
Multiracial Summer 02,Multiracial,Summer,Solo portrait,Person by water reflecting in sunlight.,,Medium
Multiracial Summer 03,Multiracial,Summer,Solo portrait,Young adult stretching on rooftop or lawn.,,High
Multiracial Summer 04,Multiracial,Summer,Solo portrait,Person sipping lemonade on a stoop or balcony.,,Medium
Multiracial Summer 05,Multiracial,Summer,Community scene,Diverse outdoor support group.,,High
Multiracial Summer 06,Multiracial,Summer,Community scene,Blended family picnic scene.,,High
Multiracial Summer 07,Multiracial,Summer,Community scene,Friends walking together after group.,,Medium
Multiracial Summer 08,Multiracial,Summer,Community scene,Peer-support conversation on a city bench.,,Medium
Multiracial Summer 09,Multiracial,Summer,Quote page,Freedom and peace motif.,Freedom can look like peace.,High
Multiracial Summer 10,Multiracial,Summer,Quote page,Sun and bright accents.,My joy counts too.,High
Multiracial Summer 11,Multiracial,Summer,Quote page,Open sky and bold text space.,I am becoming.,High
Multiracial Summer 12,Multiracial,Summer,Symbol page,"Suns, flowers, waves, and hearts.",,Medium
Multiracial Summer 13,Multiracial,Summer,Decorative page,"Sandals, fruit, and notebooks.",,Medium
Multiracial Summer 14,Multiracial,Summer,Environment page,Backyard or balcony healing corner.,,Medium
Multiracial Summer 15,Multiracial,Summer,Environment page,Urban garden community scene.,,High
Multiracial Fall 01,Multiracial,Fall,Solo portrait,Person journaling with leaves outside window.,,High
Multiracial Fall 02,Multiracial,Fall,Solo portrait,Person holding tea during a reflective walk.,,Medium
Multiracial Fall 03,Multiracial,Fall,Solo portrait,Young adult curled in chair with calming book.,,High
Multiracial Fall 04,Multiracial,Fall,Solo portrait,Person doing evening reflection by candlelight.,,High
Multiracial Fall 05,Multiracial,Fall,Community scene,Support group in warm-toned room.,,High
Multiracial Fall 06,Multiracial,Fall,Community scene,Blended family cooking together peacefully.,,Medium
Multiracial Fall 07,Multiracial,Fall,Community scene,Close friends sharing gratitude notes.,,Medium
Multiracial Fall 08,Multiracial,Fall,Community scene,Therapist-like or peer-support check-in scene.,,High
Multiracial Fall 09,Multiracial,Fall,Quote page,Release and growth motif.,I release what no longer holds me.,High
Multiracial Fall 10,Multiracial,Fall,Quote page,Soft blanket and tea accents.,I can rest without guilt.,High
Multiracial Fall 11,Multiracial,Fall,Quote page,Change and worth theme.,Change does not erase my worth.,High
Multiracial Fall 12,Multiracial,Fall,Symbol page,"Leaves, candles, journals, and hearts.",,Medium
Multiracial Fall 13,Multiracial,Fall,Decorative page,"Sweaters, mugs, and harvest details.",,Medium
Multiracial Fall 14,Multiracial,Fall,Environment page,Window seat sanctuary with blanket and plants.,,High
Multiracial Fall 15,Multiracial,Fall,Environment page,Peaceful kitchen or dining table scene.,,Medium
Multiracial Winter 01,Multiracial,Winter,Solo portrait,Person journaling with snow outside.,,High
Multiracial Winter 02,Multiracial,Winter,Solo portrait,Person walking in quiet winter light.,,Medium
Multiracial Winter 03,Multiracial,Winter,Solo portrait,Young adult coloring under a blanket.,,High
Multiracial Winter 04,Multiracial,Winter,Solo portrait,Person holding warm drink in soft lamplight.,,High
Multiracial Winter 05,Multiracial,Winter,Community scene,Diverse indoor support circle.,,High
Multiracial Winter 06,Multiracial,Winter,Community scene,Blended family exchanging kind notes.,,Medium
Multiracial Winter 07,Multiracial,Winter,Community scene,Couple or friends watching snowfall in peace.,,Medium
Multiracial Winter 08,Multiracial,Winter,Community scene,Check-in call or visit scene with emotional support.,,High
Multiracial Winter 09,Multiracial,Winter,Quote page,Warmth and light motif.,Warmth can begin within.,High
Multiracial Winter 10,Multiracial,Winter,Quote page,Quiet strength border.,"I am still here, and that matters.",High
Multiracial Winter 11,Multiracial,Winter,Quote page,Winter calm and bold lettering.,Gentleness is strength.,High
Multiracial Winter 12,Multiracial,Winter,Symbol page,"Stars, candles, mittens, and hearts.",,Medium
Multiracial Winter 13,Multiracial,Winter,Decorative page,"Snowflakes, books, mugs, and quilts.",,Medium
Multiracial Winter 14,Multiracial,Winter,Environment page,Cozy living room with layered textures.,,High
Multiracial Winter 15,Multiracial,Winter,Environment page,Bedroom or meditation corner with winter calm.,,Medium
